"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00001258" "MATCH" "1" "emb-4" "Caenorhabditis elegans" "Y80D3A.2" "WBGene00001258" "Gene" "emb-4 (also known as mal-2 or sel-6) encodes a nuclear proteinorthologous to human AQR/IBP160, an intron-binding spliceosomal'Aquarius' protein with a helicase-like domain; EMB-4 is required forthe loss of PIE-1 and H3meK4 histones from the germline at its Z2/Z3stage, and thus for the condensation of germline chromatin in Z2/Z3;EMB-4 is also required for normal embryonic and postembryonicdevelopment, and promotes LIN-12 activity."
"WBGene00001259" "MATCH" "1" "emb-5" "Caenorhabditis elegans" "T04A8.14" "WBGene00001259" "Gene" "emb-5 encodes the C. elegans ortholog of the Spt6 family of RNA polymerase II transcription elongation factors; first identified in screens for temperature-sensitive embryonic lethal mutations, emb-5 is required for the correct timing of the second E (endoderm)-cell division in the early embryo and thus, for normal embryonic gastrulation; in addition, emb-5 activity is required postembryonically for proper gonad development; in yeast two-hybrid studies, EMB-5 interacts with the intracellular domains of LIN-12 and GLP-1, suggesting that EMB-5 functions as a positive downstream effector in Notch-like signaling pathways during C. elegans development; emb-5 mRNA is most abundant during embryonic stages, with lower levels apparent during the L1-L3 larval stages, and even lower levels observed during L4."
"WBGene00013236" "MATCH" "1" "znf-593" "Caenorhabditis elegans" "Y56A3A.18" "WBGene00013236" "Gene" "Y56A3A.18 encodes an ortholog of S. cerevisiae BUD20 that may suppress tumorous growth in the germ line by ensuring robust larval germline proliferation; like PRO-1, -2, and -3, Y56A3A.18 is thought to be required for ribosome biogenesis, suggesting a link between biogenesis in the distal sheath and control of cell division in the germ line."
"WBGene00015899" "MATCH" "1" "C17E7.4" "Caenorhabditis elegans" "C17E7.4" "WBGene00015899" "Gene" ""
"WBGene00013235" "MATCH" "1" "Y56A3A.16" "Caenorhabditis elegans" "Y56A3A.16" "WBGene00013235" "Gene" ""
"WBGene00013234" "MATCH" "1" "fbxb-24" "Caenorhabditis elegans" "Y56A3A.15" "WBGene00013234" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins."
"WBGene00013233" "MATCH" "1" "sdz-33" "Caenorhabditis elegans" "Y56A3A.14" "WBGene00013233" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins."
"WBGene00013239" "MATCH" "1" "Y56A3A.22" "Caenorhabditis elegans" "Y56A3A.22" "WBGene00013239" "Gene" ""
"WBGene00013238" "MATCH" "1" "trap-4" "Caenorhabditis elegans" "Y56A3A.21" "WBGene00013238" "Gene" ""
"WBGene00015897" "MATCH" "1" "nhr-156" "Caenorhabditis elegans" "C17E7.1" "WBGene00015897" "Gene" ""
"WBGene00013237" "MATCH" "1" "Y56A3A.19" "Caenorhabditis elegans" "Y56A3A.19" "WBGene00013237" "Gene" ""
"WBGene00013243" "MATCH" "1" "Y56A3A.31" "Caenorhabditis elegans" "Y56A3A.31" "WBGene00013243" "Gene" ""
"WBGene00013242" "MATCH" "1" "Y56A3A.30" "Caenorhabditis elegans" "Y56A3A.30" "WBGene00013242" "Gene" ""
"WBGene00013241" "MATCH" "1" "ung-1" "Caenorhabditis elegans" "Y56A3A.29" "WBGene00013241" "Gene" "ung-1 encodes a uracil-DNA glycosylase; UNG-1 is required for genomic stability in somatic cells, and possibly also in germline, as well as for the recruitment of ATL-1 and RAD-51 to chromatin after depletion of dUTPase by dut-1(RNAi); ung-1(qa7600) or ung-1(RNAi) partially suppresses the lethality of dut-1(RNAi); purified UNG-1 can remove uracil from both U:G and U:A base pairs in DNA, and with lesser efficiency from single-stranded substrates."
"WBGene00013240" "MATCH" "1" "Y56A3A.28" "Caenorhabditis elegans" "Y56A3A.28" "WBGene00013240" "Gene" ""
"WBGene00001284" "MATCH" "1" "emb-30" "Caenorhabditis elegans" "F54C8.3" "WBGene00001284" "Gene" "emb-30 encodes an anaphase-promoting complex/cyclosome (APC/C) component orthologous to mammalian APC-4 and Schizosaccharomyces pombe Lid1; EMB-30 is required for the metaphase-to-anaphase transition during meiosis and mitosis, for establishing anterior-posterior polarity in the early embryo, and for proper localization of germline granules and the maternally provided PAR-2 and PAR-3 proteins."
"WBGene00001281" "MATCH" "1" "emb-27" "Caenorhabditis elegans" "F10B5.6" "WBGene00001281" "Gene" "emb-27 encodes a tetratricopeptide repeat (TPR)-containing protein that is the C. elegans ortholog of the anaphase-promoting complex (APC) subunit APC-6 (CDC16); required maternally and paternally, EMB-27 activity is essential for proper execution of the metaphase-to-anaphase transition during meiosis (both oogenesis and spermatogenesis) and mitosis (during germline proliferation); EMB-27 activity is also critical for embryonic anterior-posterior (A-P) axis formation, production of the secreted eggshell, and normal vulval development; in establishing the embryonic A-P axis, EMB-27 likely acts upstream of the separin protease to ensure proper localization of PAR-3 and PAR-2 to the anterior and posterior cortices, respectively."
"WBGene00013247" "MATCH" "1" "Y57A10A.2" "Caenorhabditis elegans" "Y57A10A.2" "WBGene00013247" "Gene" ""
"WBGene00013246" "MATCH" "1" "Y57A10A.1" "Caenorhabditis elegans" "Y57A10A.1" "WBGene00013246" "Gene" ""
"WBGene00013244" "MATCH" "1" "Y56A3A.33" "Caenorhabditis elegans" "Y56A3A.33" "WBGene00013244" "Gene" ""
"WBGene00014576" "MATCH" "1" "Y43F11A.6" "Caenorhabditis elegans" "Y43F11A.6" "WBGene00014576" "Gene" ""
"WBGene00013249" "MATCH" "1" "Y57A10A.4" "Caenorhabditis elegans" "Y57A10A.4" "WBGene00013249" "Gene" ""
"WBGene00013248" "MATCH" "1" "Y57A10A.3" "Caenorhabditis elegans" "Y57A10A.3" "WBGene00013248" "Gene" ""
"WBGene00013250" "MATCH" "1" "Y57A10A.5" "Caenorhabditis elegans" "Y57A10A.5" "WBGene00013250" "Gene" ""
"WBGene00013254" "MATCH" "1" "tag-276" "Caenorhabditis elegans" "Y57A10A.9" "WBGene00013254" "Gene" ""
"WBGene00013253" "MATCH" "1" "Y57A10A.8" "Caenorhabditis elegans" "Y57A10A.8" "WBGene00013253" "Gene" ""
"WBGene00013251" "MATCH" "1" "Y57A10A.6" "Caenorhabditis elegans" "Y57A10A.6" "WBGene00013251" "Gene" ""
"WBGene00013299" "MATCH" "1" "irld-18" "Caenorhabditis elegans" "Y57G11B.7" "WBGene00013299" "Gene" ""
"WBGene00008722" "MATCH" "1" "F12F6.7" "Caenorhabditis elegans" "F12F6.7" "WBGene00008722" "Gene" ""
"WBGene00008720" "MATCH" "1" "F12F6.1" "Caenorhabditis elegans" "F12F6.1" "WBGene00008720" "Gene" ""
"WBGene00013278" "MATCH" "1" "Y57A10B.6" "Caenorhabditis elegans" "Y57A10B.6" "WBGene00013278" "Gene" ""
"WBGene00013277" "MATCH" "1" "sre-41" "Caenorhabditis elegans" "Y57A10B.5" "WBGene00013277" "Gene" ""
"WBGene00013280" "MATCH" "1" "Y57A10C.1" "Caenorhabditis elegans" "Y57A10C.1" "WBGene00013280" "Gene" ""
"WBGene00013284" "MATCH" "1" "daf-22" "Caenorhabditis elegans" "Y57A10C.6" "WBGene00013284" "Gene" "daf-22 encodes the C. elegans ortholog of human sterol carrier protein SCP2, which catalyzes the final step in peroxisomal fatty acid beta-oxidation; in C. elegans, DAF-22 activity is required for dauer pheromone biosynthesis; daf-22 mutant animals cannot produce dauer pheromone, but can synthesize weakly active longer-chain fatty acid derivatives; in synthesizing dauer pheromone, DAF-22 acts downstream of DHS-28, the C. elegans ortholog of human HSD17B4 (hydroxysteroid (17-beta) dehydrogenase 4); a DAF-22::GFP fusion protein is expressed in a punctate pattern in the intestine, hypodermis, and body wall muscle throughout the life cycle; DAF-22 expression in the intestine is sufficient to produce dauer pheromone."
"WBGene00008711" "MATCH" "1" "F11E6.8" "Caenorhabditis elegans" "F11E6.8" "WBGene00008711" "Gene" ""
"WBGene00008710" "MATCH" "1" "rif-1.1" "Caenorhabditis elegans" "F11E6.7" "WBGene00008710" "Gene" ""
"WBGene00013289" "MATCH" "1" "tag-273" "Caenorhabditis elegans" "Y57G11A.1" "WBGene00013289" "Gene" "tag-273 encodes a LIM-type zinc finger domain-containing protein with similarity to human LIM domain and actin-binding protein 1 (HGNC:LIMA1); RNAi experiments indicate that TAG-273 is required for normal reproduction; about 3% to 10% of tag-273 transcripts are RNA edited to change A to G resulting in a change to residue 688 from an N to a S."
"WBGene00008706" "MATCH" "1" "gba-3" "Caenorhabditis elegans" "F11E6.1" "WBGene00008706" "Gene" "gab-3 is homologous to to the human gene GLUCOCEREBROSIDASE (GBA; OMIM:606463), which when mutated leads to Gaucher disease."
"WBGene00015839" "MATCH" "1" "math-10" "Caenorhabditis elegans" "C16C4.15" "WBGene00015839" "Gene" ""
"WBGene00014505" "MATCH" "1" "T05E11.9" "Caenorhabditis elegans" "T05E11.9" "WBGene00014505" "Gene" ""
"WBGene00235102" "MATCH" "1" "dib-1" "Caenorhabditis elegans" "Y54G2A.75" "WBGene00235102" "Gene" ""
"WBGene00003847" "MATCH" "1" "blmp-1" "Caenorhabditis elegans" "F25D7.3" "WBGene00003847" "Gene" "blmp-1 encodes a zinc finger and SET domain-containing protein that is the C. elegans BLIMP1 (B lymphocyte-induced maturation protein 1) ortholog; loss of blmp-1 activity via deletion mutation has been reported to result in small, dumpy animals with abnormal fat content, while loss of blmp-1 activity via RNAi reportedly results in animals that are small, dumpy, have an amorphous pharynx, and are uncoordinated with patchy coloration and protruding vulvae; a blmp-1::gfp transcriptional fusion is expressed from late embryogenesis through adulthood and found in a variety of tissues including hypodermis, seam cells, gonad distal tip cells and vulva, ventral nerve cord, amphids and phasmids, and rectal muscles."
"WBGene00044396" "MATCH" "1" "ZK1290.14" "Caenorhabditis elegans" "ZK1290.14" "WBGene00044396" "Gene" ""
"WBGene00043068" "MATCH" "1" "F32E10.9" "Caenorhabditis elegans" "F32E10.9" "WBGene00043068" "Gene" ""
"WBGene00003844" "MATCH" "1" "odc-1" "Caenorhabditis elegans" "K11C4.4" "WBGene00003844" "Gene" "odc-1 encodes ornithine decarboxylase, the first enzyme of polyamine biosynthesis that catalyzes the conversion of ornithine to putrescine; ODC-1 is required for development when animals are deprived of exogenous polyamines, which are required for oogenesis and completion of embryogenesis; in addition,ODC-1 may contribute to male fertility; ODC-1 activity is detectable at all developmental stages, with highest levels observed in adults and L4 larvae."
"WBGene00003845" "MATCH" "1" "odd-1" "Caenorhabditis elegans" "B0280.4" "WBGene00003845" "Gene" "odd-1 encodes a C2H2-type zinc finger-containing transcription factor similar to Drosophila odd skipped which is required for embryonic patterning; ODD-1 is expressed in the gut during embryogenesis and appears to be essential for larval development."
"WBGene00003840" "MATCH" "1" "ocr-3" "Caenorhabditis elegans" "T10B10.7" "WBGene00003840" "Gene" "ocr-3 encodes a predicted TRPV channel (transient receptor potential cation channel, subfamily V) containing six membrane-spanning regions, cytoplasmic ankyrin repeats, and a long, unconserved cytoplasmic tail that is related to the mammalian TRPV1 cation channel (OMIM:602076) activated by capsaicin and other noxious stimuli; although the precise role of OCR-3 in C. elegans development and/or behavior is not yet known, OCR-3 expression is detected solely in the rectal gland cells and occasionally the glial socket cells of the head, suggesting that OCR-3 may function in sensory signal transduction in these cell types."
"WBGene00015849" "MATCH" "1" "C16C8.11" "Caenorhabditis elegans" "C16C8.11" "WBGene00015849" "Gene" ""
"WBGene00043064" "MATCH" "1" "nbet-1" "Caenorhabditis elegans" "Y59E9AL.7" "WBGene00043064" "Gene" ""
"WBGene00044392" "MATCH" "1" "C25H3.16" "Caenorhabditis elegans" "C25H3.16" "WBGene00044392" "Gene" ""
"WBGene00015842" "MATCH" "1" "C16C8.4" "Caenorhabditis elegans" "C16C8.4" "WBGene00015842" "Gene" ""
"WBGene00043060" "MATCH" "1" "R144.12" "Caenorhabditis elegans" "R144.12" "WBGene00043060" "Gene" ""
"WBGene00015843" "MATCH" "1" "C16C8.5" "Caenorhabditis elegans" "C16C8.5" "WBGene00015843" "Gene" ""
"WBGene00015850" "MATCH" "1" "C16C8.12" "Caenorhabditis elegans" "C16C8.12" "WBGene00015850" "Gene" ""
"WBGene00003836" "MATCH" "1" "nxt-1" "Caenorhabditis elegans" "Y71F9AM.5" "WBGene00003836" "Gene" ""
"WBGene00043054" "MATCH" "1" "T21B4.15" "Caenorhabditis elegans" "T21B4.15" "WBGene00043054" "Gene" ""
"WBGene00003839" "MATCH" "1" "ocr-2" "Caenorhabditis elegans" "T09A12.3" "WBGene00003839" "Gene" "ocr-2 encodes a TRPV (transient receptor potential channel, vanilloid subfamily) ion channel; OCR-2 activity is required for several types of sensory transduction including olfaction, osmosensation, mechanosensation, and chemosensation; an OCR-2 fusion protein is expressed in sensory cilia and requires the OSM-9 TRPV channel protein for proper localization; likewise, OSM-9 requires OCR-2 for its cilial localization."
"WBGene00043057" "MATCH" "1" "M142.8" "Caenorhabditis elegans" "M142.8" "WBGene00043057" "Gene" ""
"WBGene00044385" "MATCH" "1" "F59A6.10" "Caenorhabditis elegans" "F59A6.10" "WBGene00044385" "Gene" ""
"WBGene00043056" "MATCH" "1" "nfya-2" "Caenorhabditis elegans" "Y53H1A.5" "WBGene00043056" "Gene" ""
"WBGene00003835" "MATCH" "1" "nxf-2" "Caenorhabditis elegans" "C15H11.6" "WBGene00003835" "Gene" "nxf-2 encodes a predicted homolog of human TAP protein, a member of the NXF family of shuttling transport receptors for nuclear export of mRNA, and it affects embryonic viability."
"WBGene00003834" "MATCH" "1" "nxf-1" "Caenorhabditis elegans" "C15H11.3" "WBGene00003834" "Gene" "nxf-1 encodes a homolog of human TAP protein, a member of the NXF family of shuttling transport receptors for nuclear export of mRNA; binds RNA directly and its function has been shown to be conserved with the NXF family."
"WBGene00003831" "MATCH" "1" "nuo-1" "Caenorhabditis elegans" "C09H10.3" "WBGene00003831" "Gene" "nuo-1 encodes a encodes a 51 kDa subunit of mitochondrial complex I that isrequired for oxidative phosphorylation, resistance to volatile anesthetics, and progression through development; nuo-1 is orthologous to human NDUFV1 (OMIM:161015, mutated in Leigh syndrome); nuo-1(ua1) induces a developmental arrest at the third larval (L3) stage that blocks reproduction, and thus is lethal to a population homozygous for nuo-1(ua1); yet arrested L3 nuo-1(ua1) animals have an individual lifespan significantly longer than normal."
"WBGene00003830" "MATCH" "1" "num-1" "Caenorhabditis elegans" "T03D8.1" "WBGene00003830" "Gene" "num-1 encodes two isoforms of an ortholog of Drosophila NUMB that inhibits endocytotic recycling and antagonizes RME-1 in vivo; NUM-1 is  required for recycling (but not internalization) of a transmembrane  endocytosis marker; num-1(bc365) null mutants, while mostly normal, no longer require RME-1 in endocytotic recycling; NUM-1A is  localized to the basolateral surfaces of most polarized epithelial  cells, such as those in hypodermis and intestine; NUM-1A and -1C isoforms are expressed in many somatic cells in all stages of  development, with notable expression in the embryonic intestinal primordium and differentiating epithelia, and (later, through larval to adult stages) in intestine, pharynx, hypodermis, seam cells, coelomocytes, spermatheca, uterus, and head neurons; NUM-1A and -1C are  expressed in nuclei, cytoplasmic granules, and cell membranes, being notably concentrated at cell peripheries at lateral cell-cell junctions in early embryos; NUM-1A and -1C are localized to the cell periphery by highly basic N-terminal domains with predicted phosphorylation sites; NUM-1A and -1C isoforms bind PKC-3 via their PTB domains in two-hybrid assays, and may serve as PKC-3 adaptors in vivo; in addition, the NUM-1A PTB also binds the TAT-1C translocase."
"WBGene00015819" "MATCH" "1" "fbxc-44" "Caenorhabditis elegans" "C16A11.6" "WBGene00015819" "Gene" ""
"WBGene00003870" "MATCH" "1" "ooc-5" "Caenorhabditis elegans" "C18E9.11" "WBGene00003870" "Gene" "ooc-5 encodes a AAA+ ATPase that is related to the Torsin family of proteins; along with TOR-1 and TOR-2, OOC-5 comprises the three C. elegans orthologs of human Torsin 1A; during embryonic development, OOC-5 activity is essential and required for re-establishment of PAR protein asymmetry in the P1 cell of the two-cell embryo and for proper spindle orientation and embryonic cell polarity; OOC-5 is also required for proper germline morphology and normal oocyte size; in the early embryo, OOC-5 localizes to the endoplasmic reticulum (ER) of all blastomeres and is also found on the nuclear rim, the mitotic spindle, and points of cell-cell contact; in the germ line and in intestinal cells, OOC-5 is found diffusely throughout the cytoplasm; OOC-5 localization is dependent upon ooc-3, which encodes a novel, transmembrane ER protein also required for oocyte formation and embryonic asymmetry."
"WBGene00015815" "MATCH" "1" "C16A11.2" "Caenorhabditis elegans" "C16A11.2" "WBGene00015815" "Gene" ""
"WBGene00015816" "MATCH" "1" "C16A11.3" "Caenorhabditis elegans" "C16A11.3" "WBGene00015816" "Gene" ""
"WBGene00015817" "MATCH" "1" "C16A11.4" "Caenorhabditis elegans" "C16A11.4" "WBGene00015817" "Gene" ""
"WBGene00015818" "MATCH" "1" "C16A11.5" "Caenorhabditis elegans" "C16A11.5" "WBGene00015818" "Gene" ""
"WBGene00015811" "MATCH" "1" "C16A3.6" "Caenorhabditis elegans" "C16A3.6" "WBGene00015811" "Gene" ""
"WBGene00043051" "MATCH" "1" "C29E4.13" "Caenorhabditis elegans" "C29E4.13" "WBGene00043051" "Gene" ""
"WBGene00015813" "MATCH" "1" "thoc-2" "Caenorhabditis elegans" "C16A3.8" "WBGene00015813" "Gene" "thoc-2 encodes the C. elegans ortholog of mammalian THOC2 and S. cerevisiae Tho2, conserved subunits of the THO complex involved in mRNP biogenesis as part of transcription elongation, mRNA maturation, and export; in C. elegans, thoc-2 activity is required for progression through the meiotic and mitotic cell cycles and thus for normal fertility and organismal development."
"WBGene00015814" "MATCH" "1" "oatr-1" "Caenorhabditis elegans" "C16A3.10" "WBGene00015814" "Gene" "C16A3.10 encodes an ornithine transaminase orthologous to the human gene OAT (ornithine aminotransferase); the product of C16A3.10 is predicted to catalyze the conversion of ornithine to L-glutamate-5-semialdehyde in the process of arginine-to-proline conversion."
"WBGene00015810" "MATCH" "1" "C16A3.5" "Caenorhabditis elegans" "C16A3.5" "WBGene00015810" "Gene" ""
"WBGene00043049" "MATCH" "1" "F32H2.11" "Caenorhabditis elegans" "F32H2.11" "WBGene00043049" "Gene" ""
"WBGene00018099" "MATCH" "1" "ztf-28" "Caenorhabditis elegans" "F36F12.8" "WBGene00018099" "Gene" ""
"WBGene00001208" "MATCH" "1" "egl-44" "Caenorhabditis elegans" "F28B12.2" "WBGene00001208" "Gene" "egl-44 encodes a transcription enhancer factor of the TEA domain (TEAD) class; egl-44 activity is required to repress the touch cell fate in some cells and to promote aspects of HSN differentiation; EGL-44 physically interacts with YAP-1, a C. elegans Yes-associated protein (YAP) homolog, and when co-expressed, the two proteins are able to activate a TEAD reporter; an EGL-44::GFP fusion protein is expressed in nuclei of various cells including the hypodermis, pharynx, intestine, and neurons including the FLP and HSN neurons; in the FLP neurons, EGL-44 positively regulates expression of EGL-46, a zinc-finger transcription factor also required for regulating neuronal differentiation."
"WBGene00001209" "MATCH" "1" "egl-45" "Caenorhabditis elegans" "C27D11.1" "WBGene00001209" "Gene" ""
"WBGene00001204" "MATCH" "1" "egl-38" "Caenorhabditis elegans" "C04G2.7" "WBGene00001204" "Gene" "egl-38 encodes a paired domain-containing protein that is a member of the PAX2/5/8 family of transcription factors; egl-38 is an essential gene, required for embryonic and larval development; in addition, EGL-38 activity is also required for fate specification of four uterine cells and rectal epithelial cells in the hermaphrodite and male tail; in regulating hindgut development EGL-38 acts in a pathway with LIN-48, a zinc-finger transcription factor; EGL-38 regulates lin-48 expression in vivo and binds to the lin-48 promoter region in vitro."
"WBGene00003865" "MATCH" "1" "oma-2" "Caenorhabditis elegans" "ZC513.6" "WBGene00003865" "Gene" "oma-2 encodes a zinc finger protein of the TIS11 finger type that is paralogous to OMA-1; while either oma-1 or oma-2 individually have no obvious mutant phenotype, oma-1 and oma-2 doubly mutant animals show defects in oocyte maturation, indicating that the two genes function redundantly in this process; whereas normal oocytes are released from meiotic prophase I arrest during oocyte maturation, oma-1;oma-2 mutant oocytes initiate, but fail to complete, maturation, arresting at a defined point in meiotic prophase I; the meiotic arrest of oma-1;oma-2 mutant oocytes is suppressed by wee-1.3(RNAi), implying that progression through meiotic prophase I is critically dependent on inhibition of WEE-1.3 by either OMA-1 or OMA-2; OMA-2 is expressed primarily in maturing oocytes, is cytoplasmic and visible in oocytes after cellularization."
"WBGene00018094" "MATCH" "1" "F36F12.3" "Caenorhabditis elegans" "F36F12.3" "WBGene00018094" "Gene" ""
"WBGene00003868" "MATCH" "1" "ooc-3" "Caenorhabditis elegans" "B0334.11" "WBGene00003868" "Gene" "ooc-3 encodes a nematode-specific protein with a predicted signal sequence, four predicted transmembrane domains, and two putative PEST sequences; OOC-3 localizes to the endoplasmic reticulum (ER), and is maternally required for correct localization of PAR-2 and PAR-3 in the P1 blastomere of the two-cell stage embryo; specifically, OOC-3 is required for restricting PAR-3 to the anterior cortex of the P1 blastomere to assure PAR-2 localization at the posterior cortex; more generally, OOC-3 is required to establish asymmetrical anterior-posterior cortical domains and spindle orientation in P1; OOC-3 is also required for proper localization of OOC-5 in embryos and intestinal cells."
"WBGene00018090" "MATCH" "1" "F36D4.5" "Caenorhabditis elegans" "F36D4.5" "WBGene00018090" "Gene" ""
"WBGene00003864" "MATCH" "1" "oma-1" "Caenorhabditis elegans" "C09G9.6" "WBGene00003864" "Gene" "oma-1 encodes a zinc finger protein of the TIS11 finger type that is paralogous to OMA-2; while either oma-1 or oma-2 individually have no obvious mutant phenotype, oma-1 and oma-2 doubly mutant animals show defects in oocyte maturation, indicating that the two genes function redundantly in this process; whereas normal oocytes are released from meiotic prophase I arrest during oocyte maturation, oma-1;oma-2 mutant oocytes initiate, but fail to complete, maturation, arresting at a defined point in meiotic prophase I; the meiotic arrest of oma-1;oma-2 mutant oocytes is suppressed by wee-1.3(RNAi), implying that progression through meiotic prophase I is critically dependent on inhibition of WEE-1.3 by either OMA-1 or OMA-2; OMA-1 is expressed primarily in maturing oocytes, is cytoplasmic and visible prior to cellularization."
"WBGene00015822" "MATCH" "1" "C16B8.2" "Caenorhabditis elegans" "C16B8.2" "WBGene00015822" "Gene" ""
"WBGene00015824" "MATCH" "1" "C16B8.4" "Caenorhabditis elegans" "C16B8.4" "WBGene00015824" "Gene" ""
"WBGene00044367" "MATCH" "1" "T05A8.8" "Caenorhabditis elegans" "T05A8.8" "WBGene00044367" "Gene" ""
"WBGene00003858" "MATCH" "1" "ogt-1" "Caenorhabditis elegans" "K04G7.3" "WBGene00003858" "Gene" "ogt-1 encodes an ortholog of O-linked N-acetylglucosamine (O-GlcNAc) transferase (OGT; OMIM:300255) with 12 N-terminal tetratricopeptide (TPR) domains (generally thought to enable protein-protein interactions) and a C-terminal putative catalytic domain; although loss of ogt-1 activity has no effect on overall viability or fertility, ogt-1 mutations result in alterations in macronutrient storage and can suppress constitutive dauer formation in daf-2 mutants suggesting that, in C. elegans, ogt-1 may play a regulatory role in nutrient sensing and insulin-like signaling pathways; OGT-1 is expressed in embryos, where it exhibits nuclear and punctate perinuclear localization."
"WBGene00003851" "MATCH" "1" "odr-4" "Caenorhabditis elegans" "Y102E9.1" "WBGene00003851" "Gene" "odr-4 encodes a novel type II membrane protein; ODR-4 is required for localization of a subset of G protein-coupled receptors (GPCRs)s, including ODR-10, to the cilia of olfactory neurons; ODR-4 affects response to a subset of AWA- and AWC- mediated olfactory responses, and is required for social feeding of npr-1 mutant animals; ODR-4 physically interacts with ODR-8 to form a complex at the endoplasmic reticulum membrane, and physically interacts wtih ODR-10, as well; ODR-4 is expressed in twelve pairs of chemosensory neurons: the ten amphid neurons and two phasmid neurons; odr-4 expression overlaps that of odr-8."
"WBGene00003850" "MATCH" "1" "odr-3" "Caenorhabditis elegans" "C34D1.3" "WBGene00003850" "Gene" "odr-3 encodes a G protein alpha subunit; odr-3 activity is required for normal chemotaxis, odorant avoidance, and nociceptive function as well as cilium morphogenesis in chemosensory neurons; an ODR-3::GFP is expressed in five pairs of sensory neurons AWA, AWB, AWC, ASH, and ADF; the AWC neurons consistently express GFP most strongly, while the AWB neurons express at lower levels and the AWA, ASH, and ADF neurons express only weakly; in AWC neurons, ODR-3::GFP localizes to cilia which have a characteristic wing-shaped morphology."
